model,airport,horizon,mae,rmse,mape,bias,mase
LightGBM_Recursive,FR_LFLL,1,36607.70586071198,36607.70586071198,5.629659578896601,-36607.70586071198,0.12501991312163646
LightGBM_Recursive,FR_LFRS,1,50616.24799075181,50616.24799075181,15.98068031558084,50616.24799075181,0.4396863071322007
LightGBM_Recursive,HU_LHBP,1,3436.077921802411,3436.077921802411,0.36713136741605756,3436.077921802411,0.009129739589921408
LightGBM_Recursive,PT_LPPT,1,18516.49013424432,18516.49013424432,0.8257222039298056,18516.49013424432,0.017964303377040837
LightGBM_Recursive,PT_LPPR,1,16217.611456722603,16217.611456722603,1.818472600790132,16217.611456722603,0.03876231866439748
LightGBM_Recursive,RS_LYBE,1,13395.75094403181,13395.75094403181,3.004596010252917,-13395.75094403181,0.06538946380244073
SARIMA,FR_LFLL,1,26355.416180548258,26355.416180548258,4.0530270244513025,26355.416180548258,0.09000705626606649
SARIMA,FR_LFRS,1,69312.4227021701,69312.4227021701,21.883480365912753,69312.4227021701,0.6020936830772513
SARIMA,HU_LHBP,1,12093.652074728627,12093.652074728627,1.292159003460597,12093.652074728627,0.0321331170730459
SARIMA,PT_LPPT,1,95220.42938552145,95220.42938552145,4.246248735117748,-95220.42938552145,0.09238082750953341
SARIMA,PT_LPPR,1,69615.01787883183,69615.01787883183,7.80589687661403,69615.01787883183,0.16638945346840436
SARIMA,RS_LYBE,1,60585.00826312625,60585.00826312625,13.588896573926693,60585.00826312625,0.2957371498876128
Naive_Seasonal,FR_LFLL,1,292815.0,292815.0,45.03010311180826,-292815.0,0.0
Naive_Seasonal,FR_LFRS,1,115119.0,115119.0,36.34564019019113,-115119.0,0.0
Naive_Seasonal,HU_LHBP,1,376361.0,376361.0,40.21268775522851,-376361.0,0.0
Naive_Seasonal,PT_LPPT,1,1030738.0,1030738.0,45.964610294052065,-1030738.0,0.0
Naive_Seasonal,PT_LPPR,1,418386.0,418386.0,46.91341136051203,-418386.0,0.0
Naive_Seasonal,RS_LYBE,1,204861.0,204861.0,45.94923762229669,-204861.0,0.0
LightGBM_Recursive,FR_LFLL,3,63695.25864740085,72469.35657764981,9.05041030611432,-63695.25864740085,0.28954145090945294
LightGBM_Recursive,FR_LFRS,3,34792.66283910634,36821.47936192536,10.023662913577413,34792.66283910634,0.46058798475555457
LightGBM_Recursive,HU_LHBP,3,53374.63738164244,82641.15633392334,5.174675284745583,-41545.61510282025,0.17807453785929578
LightGBM_Recursive,PT_LPPT,3,390413.5913148378,497668.787398217,15.70131317512968,-378069.26455867494,0.44917650923326774
LightGBM_Recursive,PT_LPPR,3,113074.9514625121,142159.94305941553,11.003966178798887,-102263.2104913637,0.3494094407670132
LightGBM_Recursive,RS_LYBE,3,47352.32486313904,55267.04630250087,10.709898775921527,-47352.32486313904,0.24894542849530282
SARIMA,FR_LFLL,3,12688.399568302595,15981.430317407978,1.8852632783403809,7961.747428390857,0.05767803913101974
SARIMA,FR_LFRS,3,43196.19956856923,47505.45442432504,12.61348476500623,43196.19956856923,0.5718346595197564
SARIMA,HU_LHBP,3,56929.37564089161,66487.64299151118,5.847819043787311,-6755.558677076556,0.18993426007530598
SARIMA,PT_LPPT,3,267992.95103091357,324871.57383125566,10.800551073016273,-267992.95103091357,0.30832978390374205
SARIMA,PT_LPPR,3,76799.68588516279,89801.27285334894,7.638057301875905,-14568.592640834782,0.23731635476415394
SARIMA,RS_LYBE,3,78445.13169805154,80385.05826307718,18.260568707438587,78445.13169805154,0.4124096753514149
Naive_Seasonal,FR_LFLL,3,219986.66666666666,229302.258324393,31.97258646563436,-219986.66666666666,0.0
Naive_Seasonal,FR_LFRS,3,75539.66666666667,82538.53566870042,21.975990848129356,-75539.66666666667,0.0
Naive_Seasonal,HU_LHBP,3,299732.0,304592.1038996251,31.587892024068104,-299732.0,0.0
Naive_Seasonal,PT_LPPT,3,869176.3333333334,877572.799104629,37.11173637177572,-869176.3333333334,0.0
Naive_Seasonal,PT_LPPR,3,323617.3333333333,331442.72523117275,34.212845791020534,-323617.3333333333,0.0
Naive_Seasonal,RS_LYBE,3,190211.66666666666,190525.67245824554,43.69390709685199,-190211.66666666666,0.0
LightGBM_Recursive,FR_LFLL,6,50638.44262374078,58647.74245357973,6.668590049870138,-50638.44262374078,0.32418631442520324
LightGBM_Recursive,FR_LFRS,6,40722.209233632486,45657.41795774931,8.731987711814721,-5929.546394526144,0.7348147586592731
LightGBM_Recursive,HU_LHBP,6,68448.79814767197,83804.50480828213,5.926269877603117,-62534.28700826088,0.29772277505843414
LightGBM_Recursive,PT_LPPT,6,375357.96900275856,451405.3134677467,14.090747952235832,-369185.8056246771,0.6003812688050828
