model,airport,horizon,mae,rmse,mape,airport_name
SARIMA,FR_LFLL,12,37336.10628841818,42676.08955675327,4.350010169959549,Lyon
SARIMA,FR_LFLL,11,35507.00490315614,39858.19639554167,4.088062250485107,Lyon
SARIMA,FR_LFRS,12,47457.64876697387,64735.54439261525,7.671790781602439,Nantes
SARIMA,FR_LFRS,11,30834.55739651405,40023.03846328064,5.328680726376104,Nantes
SARIMA,HU_LHBP,12,102437.49721801584,106866.95035531383,6.965818884878197,Budapest
SARIMA,HU_LHBP,15,113742.71701121032,143244.7688800998,7.931856235936224,Budapest
SARIMA,PT_LPPT,12,137007.28257746543,168689.25253766033,4.890673023182044,Lisbon
SARIMA,PT_LPPT,12,104335.09749566326,127820.51751203944,3.5882318841843035,Lisbon
SARIMA,PT_LPPR,12,76270.72394481512,89759.66946788524,6.499684835935603,Porto
SARIMA,PT_LPPR,12,77419.0784935955,91192.42390213737,5.3355000818107,Porto
SARIMA,RS_LYBE,12,140518.2573260089,146292.62321388433,20.93137667403699,Belgrade
SARIMA,RS_LYBE,12,52975.43110649701,58598.66880429251,6.877910514225507,Belgrade
LightGBM_Global,FR_LFLL,12,19567.147569070174,24313.4778263928,2.446064564939592,Lyon
LightGBM_Global,FR_LFLL,11,36386.75668067717,41470.99740292027,4.100072052020536,Lyon
LightGBM_Global,FR_LFRS,12,38784.38157470989,47505.001350668965,6.7857414582964,Nantes
LightGBM_Global,FR_LFRS,11,36057.972199876494,43097.28715917199,6.334646900528816,Nantes
LightGBM_Global,HU_LHBP,12,62225.29863336769,70710.77717404858,4.251658322007796,Budapest
LightGBM_Global,HU_LHBP,15,68437.01593763013,95547.70763347312,4.456142371120476,Budapest
LightGBM_Global,PT_LPPT,12,112839.6811505872,149934.42512652543,3.8258019852504335,Lisbon
LightGBM_Global,PT_LPPT,12,207724.92313602116,242190.21454096955,6.670971137201069,Lisbon
LightGBM_Global,PT_LPPR,12,40684.87561190082,54714.87387461705,2.9753349859334466,Porto
LightGBM_Global,PT_LPPR,12,44387.86791036528,59339.42125639538,3.0749162377714745,Porto
LightGBM_Global,RS_LYBE,12,29557.610867641277,35136.81706877332,4.777347015177636,Belgrade
LightGBM_Global,RS_LYBE,12,33709.164960829185,38034.96612730189,4.605182307730242,Belgrade
LightGBM_Local,FR_LFLL,12,24272.778792517533,33065.53323286402,2.826701742386584,Lyon
LightGBM_Local,FR_LFLL,11,37842.51647730123,43396.19970083405,4.243275252823302,Lyon
LightGBM_Local,FR_LFRS,12,33053.07792941979,41080.03148792617,6.3311125883468895,Nantes
LightGBM_Local,FR_LFRS,11,30867.25355231229,41271.922416155074,5.853301405726661,Nantes
LightGBM_Local,HU_LHBP,12,129379.31152308262,141086.76433280244,8.658878147516202,Budapest
LightGBM_Local,HU_LHBP,15,186347.07481776347,219876.5937555917,11.04962494846122,Budapest
LightGBM_Local,PT_LPPT,12,94330.34079347672,113104.99537533948,3.2375486563028097,Lisbon
LightGBM_Local,PT_LPPT,12,179111.36695021836,209837.51784965023,5.697772282175801,Lisbon
LightGBM_Local,PT_LPPR,12,80255.2641422595,97144.03285333804,5.664649817870631,Porto
LightGBM_Local,PT_LPPR,12,165807.88981901924,193120.2331058361,10.933851853910294,Porto
LightGBM_Local,RS_LYBE,12,75012.11728465576,95646.837941947,10.749547773357984,Belgrade
LightGBM_Local,RS_LYBE,12,103531.88120418596,123902.10106459376,13.578546606839328,Belgrade
Prophet,FR_LFLL,12,182713.48219322032,188324.20408022517,20.823142629624687,Lyon
Prophet,FR_LFLL,11,130745.1174451994,137197.30144918902,14.348792630727194,Lyon
Prophet,FR_LFRS,12,96386.241801993,113705.16481837626,14.947734466963848,Nantes
Prophet,FR_LFRS,11,86190.50418469532,100039.43303666767,12.95288617855136,Nantes
Prophet,HU_LHBP,12,426336.2992382894,436863.6321505405,28.910010127367308,Budapest
Prophet,HU_LHBP,15,472032.5784494459,479980.248770604,29.71965129829118,Budapest
Prophet,PT_LPPT,12,617812.9741020416,636370.032300221,20.880194879320417,Lisbon
Prophet,PT_LPPT,12,535103.9935979577,558297.091046756,17.448799243254832,Lisbon
Prophet,PT_LPPR,12,280634.733005742,313037.80655384023,19.84825164099156,Porto
Prophet,PT_LPPR,12,281387.7036660505,317169.79126598424,18.541983636686687,Porto
Prophet,RS_LYBE,12,65982.87852826815,74534.10378430008,9.050791876556945,Belgrade
Prophet,RS_LYBE,12,46856.09450498189,58201.727777382825,7.356218338213662,Belgrade
Chronos,FR_LFLL,12,71595.8359375,79432.00282002211,8.42714386814807,
Chronos,FR_LFLL,11,22003.4140625,26474.18425561022,2.578482971392684,
Chronos,FR_LFRS,12,60653.48046875,68894.77750889395,10.185046067092195,
Chronos,FR_LFRS,11,24962.001953125,31790.52437441069,4.485139156794525,
Chronos,HU_LHBP,12,185582.125,218234.51957928194,12.12499295026604,
Chronos,HU_LHBP,15,59311.70703125,73420.989260565,4.038094129261146,
Chronos,PT_LPPT,12,2022051.0,2234507.2587217074,66.57409538574277,
Chronos,PT_LPPT,12,56072.45703125,73073.81648716591,1.9450766469926082,
Chronos,PT_LPPR,12,85188.53125,92892.79222846086,6.394309411402848,
Chronos,PT_LPPR,12,51750.88671875,58274.220715510215,3.6015021588849137,
Chronos,RS_LYBE,12,50795.73828125,56242.90405019997,7.6312132775548065,
Chronos,RS_LYBE,12,27979.625,32783.43191308683,3.5551153771501505,
