model,airport,horizon,mae,rmse,mape
LightGBM_Recursive,FR_LFLL,11,25776.963452042324,31957.10193398105,3.0487414216208575
LightGBM_Recursive,FR_LFRS,11,31892.00484258855,40617.71964468362,5.409938461048613
LightGBM_Recursive,HU_LHBP,15,241294.67766795142,258473.63669007111,15.192210200449463
LightGBM_Recursive,PT_LPPT,12,81008.63746486674,95080.62208762128,2.662428131647497
LightGBM_Recursive,PT_LPPR,12,118925.04297982868,139310.21450544617,7.913831763261127
LightGBM_Recursive,RS_LYBE,12,35907.609024718826,41828.04853890738,4.616957733802451
